用户名,编号,点赞数,评论数,评论
苏蕾,D:/douyin/info/6.json,2588,126,今天在四川德阳市的菜市场向摊贩询价，8元1斤，还是要贵很多。我一周前在你家拍了一箱，才合3元多一点，个头与你描述的差不多，品质不错，谢谢！吃完了，下次还会买。
苏蕾,D:/douyin/info/6.json,2588,126,一箱几斤？
苏蕾,D:/douyin/info/6.json,2588,126,我们这超市最近涨的很历害都三块一斤啦！前段时间还不到俩块！！！！
苏蕾,D:/douyin/info/6.json,2588,126,可怜的小手，有点心疼[流泪]
苏蕾,D:/douyin/info/6.json,2588,126,上次我买了一箱，收到货后只有一半，
苏蕾,D:/douyin/info/6.json,2588,126,在抖音里买了很多食物，相比之下还没超市便宜
苏蕾,D:/douyin/info/6.json,2588,126,只有呆瓜在抖音上卖东西的
苏蕾,D:/douyin/info/6.json,2588,126,你是菏泽哪里的？
苏蕾,D:/douyin/info/6.json,2588,126,感觉那么壮实，声音那么细，和我想象中的差距比较大，应该比较中正的音色才对啊[捂脸][捂脸]
苏蕾,D:/douyin/info/7.json,4678,257,国家都提倡打造粉丝经济[赞]产品在保证质量好，价格合理的情况下，主播凭自己本事赚钱就是好样的[赞][赞][鼓掌][鼓掌][耶][耶]加油蕾蕾[一起加油][一起加油][一起加油][玫瑰][玫瑰][玫瑰]
苏蕾,D:/douyin/info/7.json,4678,257,你们发货太慢了，一等就是三四天，有的还一个星期
苏蕾,D:/douyin/info/7.json,4678,257,太贵了，卖不出去
苏蕾,D:/douyin/info/7.json,4678,257,大蒜怎么卖？
苏蕾,D:/douyin/info/7.json,4678,257,加油[赞]你家的梨口感好，脆甜，皮薄肉多，而且在运输的过程中保护的也挺好没有磕碰现象。支持你[赞][赞][赞][玫瑰][玫瑰][玫瑰]
苏蕾,D:/douyin/info/7.json,4678,257,心疼你[玫瑰]西施妹妹
苏蕾,D:/douyin/info/7.json,4678,257,买一袋
苏蕾,D:/douyin/info/7.json,4678,257,量力而行，顶力支持[祈祷][祈祷][祈祷]
苏蕾,D:/douyin/info/7.json,4678,257,买了十斤[比心]
苏蕾,D:/douyin/info/7.json,4678,257,加油
苏蕾,D:/douyin/info/8.json,4776,133,你家一会种大蒜，一会梨又熟了，你就说你家啥没种吧？
苏蕾,D:/douyin/info/8.json,4776,133,只有我一人觉得这种梨壳大的要死吗[捂脸]
苏蕾,D:/douyin/info/8.json,4776,133,买了一箱，试吃一下
苏蕾,D:/douyin/info/8.json,4776,133,我买的梨发了没？[呲牙]
苏蕾,D:/douyin/info/8.json,4776,133,要卖就卖点货真价实的东西以后还会光顾
苏蕾,D:/douyin/info/8.json,4776,133,我下了一单收到么？[微笑]
苏蕾,D:/douyin/info/8.json,4776,133,怎么我早就下单到现在都没收到
苏蕾,D:/douyin/info/8.json,4776,133,没熟通吧，水份还行！
苏蕾,D:/douyin/info/8.json,4776,133,非常不值，梨水分不行甜度不行
苏蕾,D:/douyin/info/8.json,4776,133,今天收到货了，特别好吃，我儿子一下吃两个[捂脸][捂脸][捂脸]
苏蕾,D:/douyin/info/9.json,6993,371,就是看了她抖音说砀山梨好吃，结果难吃死了
苏蕾,D:/douyin/info/9.json,6993,371,下单三天了没看见发货
苏蕾,D:/douyin/info/9.json,6993,371,买了3天了，还不见发货？
苏蕾,D:/douyin/info/9.json,6993,371,都下单几天问你们发货没，结果没反应，好讨厌
苏蕾,D:/douyin/info/9.json,6993,371,我买的梨发来还没到地，怎么又发回去了
苏蕾,D:/douyin/info/9.json,6993,371,多少米一件，一件多斤
苏蕾,D:/douyin/info/9.json,6993,371,我卖的怎么还没到？是什么快递送呀
苏蕾,D:/douyin/info/9.json,6993,371,是皮薄汁多的吗？亲
苏蕾,D:/douyin/info/9.json,6993,371,新的梨下来来了吗
苏蕾,D:/douyin/info/9.json,6993,371,你把皇冠两个字带上，和其他梨区分开，不讲清楚以后的梨子怎么卖
