name,city,粉丝数,获赞总数
认真少女_颜九,苏州,8531406,109731930
-谢欣桐-,上海,772149,7560525
大C,北京,1086383,7221673
宵夜大哥,杭州,518674,5157170
温仙女,成都,6088576,44954914
涵涵的百宝屋,铁岭,84416,722579
罗甜甜,珠海,337869,893319
李濠pe7er,北京,416663,2179125
Pony朴惠敏,上海,6647911,25857668
豆豆_Babe,北京市,9668988,93742436
李佳琦Austin,上海,43683088,280263070
洋江化妆品店,宝鸡,27350,215503
SiHueee,徐州,6720,37740
小颠儿Kini,沈阳,1960103,18322210
