name,city,粉丝数,获赞总数
洋江化妆品店,宝鸡,27357,215604
SiHueee,徐州,6779,37765
认真少女_颜九,苏州,8543342,109792758
小颠儿Kini,沈阳,1960917,18322420
宵夜大哥,杭州,524652,5195913
-谢欣桐-,上海,774322,7574830
大C,北京,1086807,7225826
涵涵的百宝屋,铁岭,84390,722548
罗甜甜,珠海,337875,893295
李濠pe7er,北京,416818,2181584
Pony朴惠敏,上海,6651944,25905466
温仙女,成都,6087567,45065113
豆豆_Babe,北京市,9673504,93812535
李佳琦Austin,上海,43680304,280499807
