name,city,粉丝数,获赞总数
SiHueee,徐州,6776,37805
洋江化妆品店,宝鸡,27335,215565
认真少女_颜九,苏州,8566510,109942676
小颠儿Kini,沈阳,1959620,18328605
-谢欣桐-,上海,780536,7603502
大C,北京,1096616,7259782
温仙女,成都,6085594,45402936
豆豆_Babe,北京市,9686138,94065023
涵涵的百宝屋,铁岭,84296,722492
罗甜甜,珠海,337838,893246
宵夜大哥,杭州,568630,5576633
李濠pe7er,北京,416826,2184941
李佳琦Austin,上海,43671732,280821292
Pony朴惠敏,上海,6658326,25985252
