视频,过零点数量,色度频率,谱质心,谱宽度,谱滚降,过零率,梅尔频率倒谱系数
6-9,255,0.3958802,1358.2054712408858,1747.1870412614091,2929.5850868553007,0.04896057187201528,-2.4140434
7-12,568,0.32953256,921.9597215142571,1258.1299481187996,1869.4018107371023,0.041392783419720344,-9.303568
平均值,411.5,0.36270638,1140.0825963775715,1502.6584946901044,2399.4934487962014,0.04517667764586781,-5.8588057
