视频,过零点数量,色度频率,谱质心,谱宽度,谱滚降,过零率,梅尔频率倒谱系数
6-12,476,0.36349806,2058.8117209200004,2255.8015220083407,4380.8498686393805,0.10556072712547408,-5.171175
6-24,399,0.36457333,1878.9677410395943,2129.6854924720924,3936.3510082347975,0.10480134431306307,-4.0665793
7-19,1051,0.41193184,2109.5971135548757,2228.549531901146,4266.368083712421,0.11928844854298523,-4.2398643
7-9,431,0.3641989,1452.2288712278128,1679.7243235866194,2980.2344820392664,0.07792094216417911,-5.4108806
平均值,589.25,0.3760505325,1874.901361685571,2073.4402174920497,3890.950860656467,0.10189286553642538,-4.7221248
