词语,出现次数
不错,3
可以,2
一点,2
喜欢,2
有点,1
看着,1
博大,1
旗舰店,1
超神,1
觉得,1
这个,1
大家,1
是不是,1
真实,1
一次,1
转发,1
视频,1
继续,1
加油,1
