视频序号,点赞数,评论总数,01,02,03,04,05,06,07,08,09,10
0618,975,126,终于木有刘海了[鼓掌][鼓掌]敲美敲好看,大王的包出了名的重,这个包我买了，老公很喜欢,真心有点贵[捂脸][捂脸][捂脸],昨晚和妹妹都买了这款包，期待,终于见夫人换发型了，该说不说，露脑门是真的好看~,为啥总感觉腰包像卖菜的阿姨腰上围的,在哪买？多少钱,哈哈，原来大家眼光都一样啊，真的特别好看，t推下,能出个白色的包吗
0619,353,30,最近都在夸发型，飘了飘了[呲牙],[比心][色],瞎说，明明就是省钱[呲牙][笑哭][笑哭],这个发型完美[鼓掌][鼓掌],哈哈[捂脸]抢个前排,看你太费钱,后面的小白包出其它颜色吗？[玫瑰],我关注了主播好久好久好久了，我是难买鞋的那种，但是博主推荐的鞋子emmm…都不大好看呢,喜欢黑色的高跟鞋[偷笑][偷笑][偷笑][偷笑],后面一动就变形
0623,1273,65,哈哈哈哈，我的推荐可不是闹着玩儿的[笑哭],表扬精灵[色],不要买，显胖[笑哭]你看我的腰辣么粗,夫人你适合不留刘海 更高级了[看][看],你的t桖有链接吗？,身上的裤子有链接吗 好看,夫人不要刘海更美了,夏莫卡爱了爱了,衣服什么牌子,T恤是谁家
0702,429,100,这个包种草了,喜欢鞋子，吊带[呲牙],猴夫人，你好，请问吊带哪里买的，好漂亮，很喜欢。,鞋子链接呢？,这次感觉上新很快,在你家买了鞋 出差一个月了 还没有看着真身[捂脸][捂脸],这个黑色外搭有链接吗，最近想买个这个,大抱抱有链接么,这个系列好诶[赞],猴哥竟然约你去爬山[发呆][发呆][发呆]
0703,497,50,鞋什么品牌啊,显白指甲油求推荐,猴夫人，那个秋冬新款马丁靴又是8孔的？考虑一下出6孔的呗,我是手残党,太热了，只能穿凉鞋,来济南 热死你[泪奔],是嫌热不死吗[捂脸],等着弄推存小裙子店铺呢！[捂脸][捂脸][捂脸],显手黑的颜色[笑哭],[巧克力]
0704,330,22,999是防拍价，开卖后不到二百，今晚8点开买喽，我也在等入手呢[呲牙],麻麻麻麻，我最爱的美鞋博主换路线啦[捂脸],刚看见就没有号码了，还补货吗？,999买不起！,最小码29我的妈呀还不货吗,了,还会补号吗,我就喜欢短袖[呲牙],猴夫人快把刘海夹上去[泪奔],27还会加单吗[捂脸][捂脸]
0705,1112,59,果然贵有贵的道理，确实好看,衣服是hm的各位！胖子穿不好看[捂脸][捂脸][捂脸],发呀发呀,衣服好看,求衣服链接,这条连体裤好看呀，有链接吗？[玫瑰][玫瑰][玫瑰],连体裤求品牌或链接,喜欢你的衣服,集合，集合，集合,喜欢今天工装裤
0715,659,24,全身都白了，还怕脚吗[灵机一动]不过出门穿凉鞋真的连脚都要抹防晒!,厚涂！厚涂！！厚涂！！！[巧克力],这一套衣服好看 有链接吗,不会破坏角质层嘛，还是内调靠谱,相信我，天天穿运动鞋，你就可以变白，我就是这样的，我的脚是我身体最白的一个地方[看][赞],[玫瑰][玫瑰][玫瑰],哈哈哈[泪奔][赞],然后穿个船袜，让你感受一下黑白分界线[看],对比图腿比脚美白更明显,又要剁手了
0716,882,91,耐克前两双太好看了,绿色匡威戳了,银色那两双高跟鞋好好看,夫人是不是要被猴哥赶出家门了[捂脸],能不能都做，我们买,为啥我看左下角价格加起来又几十万[捂脸],four ！,猴哥有木有适合宽脚的高跟鞋呀,真羡慕只为了想拥有就能拥有。可，你离挨打不远了[灵机一动],分趾鞋要把脚趾头分开穿嘛？
