name,city,粉丝数,获赞总数
米坦,凯里,2651778,27025488
叶儿茶叶店,,58306,529115
陕西他大舅农业,西安,67839,1014929
海鲜女孩冯美丽,盐城,209837,1647446
苏蕾,,234709,4104880
小美吃吃吃,杭州市,2933319,31585449
吃饭啦-光小强,无锡,4350829,25912733
爱喝酒的徐博士,深圳,1773598,13225843
One💛美食,广州,6490395,41265109
