name,city,粉丝数,获赞总数
米坦,凯里,2654728,27160916
叶儿茶叶店,,58362,531091
陕西他大舅农业,西安,68900,1026738
海鲜女孩冯美丽,盐城,211698,1678582
苏蕾,,234196,4127230
小美吃吃吃,杭州市,3017226,32314421
吃饭啦-光小强,无锡,4367707,26055821
爱喝酒的徐博士,深圳,1806386,13582481
One💛美食,广州,6485383,41286360
