name,city,粉丝数,获赞总数
米坦,凯里,2654446,27171169
叶儿茶叶店,,58363,531402
陕西他大舅农业,西安,69056,1028750
海鲜女孩冯美丽,盐城,211768,1680768
苏蕾,,234126,4131316
小美吃吃吃,杭州市,3017100,32331258
吃饭啦-光小强,无锡,4367519,26065718
爱喝酒的徐博士,深圳,1814062,13639314
One💛美食,广州,6484638,41287467
