name,city,粉丝数,获赞总数
米坦,凯里,2651154,27058725
叶儿茶叶店,,58347,529997
陕西他大舅农业,西安,68191,1018589
海鲜女孩冯美丽,盐城,210513,1657733
苏蕾,,234479,4114301
小美吃吃吃,杭州市,2956908,31798507
吃饭啦-光小强,无锡,4366081,25987449
爱喝酒的徐博士,深圳,1787933,13371210
One💛美食,广州,6487989,41273096
