name,city,粉丝数,获赞总数
米坦,凯里,2655004,27123837
叶儿茶叶店,,58367,530483
陕西他大舅农业,西安,68521,1021739
海鲜女孩冯美丽,盐城,211238,1668584
苏蕾,,234378,4121334
小美吃吃吃,杭州市,3005639,32170713
吃饭啦-光小强,无锡,4367852,26021511
爱喝酒的徐博士,深圳,1794893,13457363
One💛美食,广州,6487037,41278812
