name,city,粉丝数,获赞总数
米坦,凯里,2652210,27006959
叶儿茶叶店,,58210,527449
陕西他大舅农业,西安,67420,1010631
海鲜女孩冯美丽,盐城,208765,1632139
苏蕾,,234692,4096609
小美吃吃吃,杭州市,2932016,31523041
吃饭啦-光小强,无锡,4348339,25878813
爱喝酒的徐博士,深圳,1760240,13110231
One💛美食,广州,6491517,41256404
